,0,1,2,3,4,5
0,Non-GAAP operating expenses,"$ 3,378","$ 3,046","$ 2,210","$ 11,716","$ 7,825"
1,GAAP operating income,"$ 24,034","$ 21,869","$ 13,615","$ 81,453","$ 32,972"
2,Total impact of non-GAAP adjustments to operating income,"1,482","1,407","1,134","5,336","4,162"
3,Non-GAAP operating income,"$ 25,516","$ 23,276","$ 14,749","$ 86,789","$ 37,134"
4,"GAAP other income (expense), net","$ 1,183",$ 447,$ 491,"$ 2,573",$ 846
5,"Gains from non-marketable equity securities and publicly-held equity securities, net",(727),(37),(260),"(1,030)",(238)
6,Interest expense related to amortization of debt discount,1,1,1,4,4
7,"Non-GAAP other income (expense), net",$ 457,$ 411,$ 232,"$ 1,547",$ 612
8,GAAP net income,"$ 22,091","$ 19,309","$ 12,285","$ 72,880","$ 29,760"
9,Total pre-tax impact of non-GAAP adjustments,756,"1,371",875,"4,310","3,928"
10,Income tax impact of non-GAAP adjustments (D),(781),(670),(321),"(2,925)","(1,376)"
11,Non-GAAP net income,"$ 22,066","$ 20,010","$ 12,839","$ 74,265","$ 32,312"
12,Diluted net income per share (E),,,,,
13,GAAP,$ 0.89,$ 0.78,$ 0.49,$ 2.94,$ 1.19
14,Non-GAAP,$ 0.89,$ 0.81,$ 0.52,$ 2.99,$ 1.30
15,Weighted average shares used in diluted net income per share computation (E),"24,706","24,774","24,900","24,804","24,936"
16,GAAP net cash provided by operating activities,"$ 16,628","$ 17,629","$ 11,499","$ 64,089","$ 28,090"
17,Purchases related to property and equipment and intangible assets,"(1,077)",(813),(253),"(3,236)","(1,069)"
18,Principal payments on property and equipment and intangible assets,(32),(29),(29),(129),(74)
19,Free cash flow,"$ 15,519","$ 16,787","$ 11,217","$ 60,724","$ 26,947"
