0	11
0	35
0	54
0	65
0	83
0	84
0	89
1	7
1	16
1	50
1	51
1	52
1	55
1	56
1	64
1	66
1	67
1	75
1	78
1	80
1	92
2	31
2	44
2	57
2	68
2	71
2	77
2	81
2	84
2	91
2	96
3	32
3	34
3	50
3	51
3	53
3	56
3	62
3	65
3	67
3	73
3	93
4	27
4	37
5	22
5	28
5	55
5	62
5	76
6	24
6	41
6	50
6	52
6	55
6	56
6	69
6	70
6	72
6	73
6	82
6	96
7	1
7	34
7	50
7	54
7	59
7	60
7	98
8	9
8	50
8	51
8	52
8	53
8	54
8	55
8	56
8	59
8	67
8	68
8	70
8	71
8	72
8	80
8	84
8	85
8	87
8	95
8	96
9	8
9	50
9	51
9	52
9	55
9	56
9	60
9	62
9	68
9	75
9	76
9	77
9	82
9	83
9	88
9	90
9	94
9	97
9	98
10	25
10	27
10	55
10	57
11	0
11	30
11	50
11	61
11	62
11	80
12	32
12	43
12	50
12	52
12	53
12	54
12	56
12	58
12	59
12	60
12	61
12	63
12	65
12	66
12	70
12	72
12	74
12	75
12	82
12	83
12	87
12	88
12	89
13	14
13	48
13	50
13	59
13	69
13	70
13	71
13	99
14	13
14	49
14	50
14	52
14	78
14	82
14	91
14	93
15	33
15	45
16	1
16	49
16	51
16	53
16	54
16	56
16	57
16	59
16	63
16	66
16	69
16	71
16	72
16	85
16	86
16	99
17	26
17	50
17	51
17	52
17	54
17	61
17	62
17	64
17	73
17	74
17	77
17	81
17	84
17	85
18	57
18	76
18	88
19	41
19	47
19	51
19	58
19	63
19	64
19	69
19	73
19	94
19	95
19	98
20	24
20	43
20	50
20	51
20	52
20	53
20	54
20	56
20	67
20	73
20	80
21	31
21	39
21	50
21	51
21	54
21	60
21	65
21	66
21	68
21	81
21	82
21	85
21	88
21	95
21	98
22	5
22	42
22	53
22	59
22	61
22	67
22	75
22	76
22	81
22	89
23	29
23	48
23	51
23	52
23	53
23	59
23	61
23	66
23	72
23	76
23	79
23	81
23	84
23	86
23	90
23	92
23	95
23	96
24	6
24	20
24	50
24	52
24	53
24	54
24	55
24	58
24	60
24	61
24	65
24	68
24	69
24	71
24	72
24	75
24	80
24	82
24	83
