0	0.65107,0.09376,0.47690,0.46270,0.92978,0.44875,0.42251,0.85037,0.29661,0.15590
1	0.52944,0.94350,0.28792,0.31512,0.01437,0.08694,0.44450,0.52159,0.79161,0.38175
2	0.05788,0.77704,0.74994,0.98273,0.91393,0.25261,0.13600,0.47702,0.66908,0.33673
3	0.84179,0.74434,0.09652,0.24165,0.25857,0.85435,0.38683,0.41976,0.05634,0.30381
4	0.14173,0.86886,0.49810,0.68736,0.43541,0.41274,0.30721,0.15171,0.29092,0.20946
5	0.53034,0.33646,0.03789,0.48858,0.83099,0.56882,0.86374,0.63852,0.35334,0.74660
6	0.04773,0.95655,0.60369,0.01570,0.77185,0.61331,0.34503,0.42082,0.13082,0.05422
7	0.88548,0.30847,0.96384,0.47165,0.06000,0.02331,0.12616,0.95515,0.00291,0.40227
8	0.16630,0.59345,0.94723,0.78469,0.99759,0.08790,0.37589,0.72589,0.55723,0.82029
9	0.06883,0.03901,0.92021,0.15014,0.46582,0.19857,0.39709,0.88347,0.73218,0.29079
10	0.96208,0.60920,0.69757,0.39994,0.16469,0.90422,0.46111,0.72962,0.65730,0.29182
11	0.03743,0.45496,0.06404,0.53980,0.53246,0.22609,0.85597,0.27061,0.36370,0.63818
12	0.25602,0.40324,0.37720,0.27010,0.36281,0.72392,0.62454,0.93049,0.85743,0.82246
13	0.63948,0.68234,0.43293,0.10493,0.48069,0.28824,0.42144,0.89848,0.30821,0.00177
14	0.88123,0.11683,0.24751,0.32501,0.71840,0.87836,0.71048,0.95375,0.32853,0.42719
15	0.34750,0.79790,0.55084,0.35229,0.77748,0.35025,0.29338,0.19923,0.50097,0.84204
16	0.33415,0.91021,0.04507,0.88915,0.65162,0.04883,0.86607,0.61015,0.16433,0.29371
17	0.01131,0.69982,0.59828,0.71870,0.38875,0.98283,0.92983,0.18346,0.34340,0.91955
18	0.65789,0.03619,0.29653,0.49159,0.84937,0.31179,0.71099,0.60809,0.33654,0.48509
19	0.73818,0.07791,0.63397,0.23860,0.30128,0.49162,0.49341,0.07883,0.45797,0.58855
20	0.86434,0.46437,0.12895,0.65576,0.08475,0.88394,0.43801,0.10630,0.13385,0.61489
21	0.58228,0.67631,0.94797,0.63597,0.27881,0.66642,0.35255,0.13902,0.06600,0.52883
22	0.60045,0.19001,0.84589,0.68226,0.83014,0.76109,0.36222,0.87041,0.41841,0.84191
23	0.06708,0.55697,0.49672,0.88809,0.40283,0.73407,0.49810,0.69673,0.22710,0.96580
24	0.24443,0.83122,0.71077,0.94263,0.52228,0.69521,0.54180,0.83825,0.41048,0.70921
25	0.56072,0.79677,0.13331,0.13099,0.39686,0.68395,0.64929,0.67299,0.37786,0.59872
26	0.92514,0.89248,0.03873,0.83572,0.42410,0.30064,0.98737,0.76657,0.49088,0.85281
27	0.37047,0.67439,0.65581,0.20964,0.54679,0.36532,0.38794,0.23083,0.73535,0.19628
28	0.07784,0.78416,0.24221,0.46945,0.39645,0.34227,0.70679,0.52598,0.19825,0.20148
29	0.35747,0.78643,0.98107,0.35562,0.86446,0.99552,0.34248,0.58592,0.99284,0.13185
30	0.15804,0.96434,0.90793,0.63352,0.64650,0.74011,0.63106,0.56337,0.93781,0.33135
31	0.00274,0.22243,0.88306,0.23481,0.69133,0.62560,0.02150,0.48530,0.36477,0.63292
32	0.45760,0.40602,0.07437,0.21362,0.70815,0.23355,0.20851,0.62360,0.89651,0.68399
33	0.21706,0.29284,0.83609,0.24723,0.22727,0.32466,0.84054,0.32441,0.25223,0.37936
34	0.49545,0.20163,0.35640,0.04399,0.43114,0.57761,0.59204,0.15079,0.29626,0.80703
35	0.28133,0.28056,0.92597,0.94816,0.46920,0.66701,0.63208,0.28342,0.90475,0.63017
36	0.19164,0.09413,0.59944,0.62890,0.97239,0.57139,0.21714,0.30487,0.11137,0.11998
37	0.30955,0.01883,0.06684,0.62895,0.49243,0.47095,0.16411,0.37021,0.60289,0.35902
38	0.66986,0.46186,0.15302,0.76934,0.81409,0.02897,0.35406,0.68802,0.18241,0.76856
39	0.69524,0.99174,0.10854,0.71312,0.10562,0.52342,0.73044,0.29811,0.65818,0.28578
40	0.42258,0.38243,0.48475,0.41790,0.46948,0.07227,0.67534,0.94117,0.61382,0.89154
41	0.72499,0.98286,0.13989,0.52880,0.34305,0.29333,0.43281,0.97259,0.17779,0.40788
42	0.83124,0.00396,0.26010,0.60411,0.48728,0.26459,0.78214,0.84123,0.72322,0.55155
43	0.06656,0.47859,0.00164,0.01550,0.04457,0.23417,0.78395,0.11800,0.03272,0.72519
44	0.51840,0.66885,0.53695,0.93232,0.87620,0.24842,0.36575,0.19893,0.65368,0.61109
45	0.64134,0.95673,0.91947,0.55407,0.64904,0.04426,0.27262,0.66648,0.18771,0.53486
46	0.58166,0.52857,0.55650,0.73310,0.58796,0.31193,0.62804,0.15572,0.34393,0.93375
47	0.47640,0.59980,0.05155,0.35217,0.86584,0.25921,0.76379,0.83401,0.24697,0.43113
48	0.43088,0.83554,0.01244,0.52338,0.18269,0.43319,0.48203,0.76170,0.02275,0.94022
49	0.86226,0.09288,0.81823,0.92727,0.08817,0.40399,0.86901,0.96015,0.32655,0.99323
50	0.87344,0.37249,0.28323,0.78049,0.94014,0.59429,0.63056,0.20284,0.12510,0.48914
51	0.52278,0.63662,0.49687,0.48329,0.34675,0.21455,0.25278,0.53004,0.81943,0.38421
52	0.46482,0.16602,0.88014,0.76928,0.73818,0.07950,0.82234,0.65039,0.32309,0.27412
53	0.03824,0.99620,0.42797,0.05160,0.04469,0.29018,0.41352,0.05656,0.15450,0.01795
54	0.46916,0.15540,0.29292,0.63423,0.56232,0.47565,0.20050,0.40252,0.96395,0.91632
55	0.97802,0.55017,0.69608,0.78604,0.21589,0.98283,0.53346,0.18846,0.62927,0.39135
56	0.29276,0.60148,0.43180,0.10275,0.67091,0.33450,0.16838,0.86814,0.02652,0.84465
57	0.82851,0.79133,0.55208,0.52481,0.44519,0.65541,0.20806,0.52322,0.17546,0.83549
58	0.68761,0.28136,0.58895,0.25343,0.93468,0.71801,0.96564,0.13240,0.87951,0.38703
59	0.43682,0.44757,0.85975,0.56743,0.78843,0.31500,0.83782,0.73234,0.57045,0.70603
60	0.35405,0.33833,0.46437,0.42660,0.84627,0.31032,0.10151,0.08190,0.25549,0.89047
61	0.91459,0.45094,0.92690,0.78551,0.81795,0.10303,0.81451,0.80050,0.48432,0.77929
62	0.96958,0.41146,0.50380,0.19142,0.11725,0.50060,0.01104,0.20130,0.68251,0.03667
63	0.05746,0.38928,0.80548,0.75608,0.63311,0.10778,0.08834,0.62365,0.55045,0.80795
64	0.16979,0.92605,0.06106,0.09599,0.91568,0.27901,0.27488,0.75397,0.04361,0.42595
65	0.64770,0.25716,0.90583,0.53207,0.04513,0.57857,0.31858,0.12153,0.97684,0.79439
66	0.56483,0.66961,0.52176,0.11619,0.76827,0.07101,0.42626,0.89502,0.61250,0.21037
67	0.91913,0.05080,0.85611,0.95214,0.51228,0.45104,0.07339,0.22708,0.75294,0.29683
68	0.22167,0.91268,0.33029,0.45623,0.86781,0.20491,0.42093,0.71460,0.63760,0.37869
69	0.65068,0.93208,0.75302,0.18123,0.34421,0.14089,0.29402,0.12093,0.21938,0.53095
70	0.27749,0.08017,0.73911,0.50267,0.98890,0.13680,0.10447,0.19625,0.74518,0.07942
71	0.56590,0.43365,0.91815,0.76925,0.87635,0.92111,0.23965,0.33377,0.59959,0.36958
72	0.75058,0.09696,0.63127,0.47584,0.53029,0.57537,0.60673,0.20030,0.91215,0.02095
73	0.50580,0.84096,0.31567,0.33221,0.62768,0.47294,0.73042,0.51607,0.17955,0.00088
74	0.05413,0.75747,0.11749,0.33217,0.09069,0.39620,0.37632,0.63876,0.39891,0.07743
75	0.06056,0.48681,0.13974,0.06015,0.27009,0.02254,0.45565,0.94448,0.64767,0.48951
76	0.48626,0.79688,0.30817,0.15559,0.51670,0.80677,0.15401,0.04443,0.61495,0.06195
77	0.16139,0.41087,0.17879,0.55157,0.10620,0.96994,0.49851,0.26923,0.03915,0.46027
78	0.62941,0.90070,0.97803,0.19121,0.38045,0.84901,0.71688,0.79393,0.02688,0.70425
79	0.93436,0.83291,0.96550,0.48650,0.44946,0.76338,0.66552,0.49053,0.43472,0.79994
80	0.31491,0.66122,0.76668,0.47039,0.66862,0.93735,0.10902,0.89145,0.77692,0.44313
81	0.50434,0.35769,0.20114,0.38778,0.73004,0.66148,0.29589,0.18825,0.62932,0.34858
82	0.42126,0.89843,0.47302,0.29572,0.76505,0.54546,0.86775,0.27243,0.94092,0.31652
83	0.12766,0.56878,0.24024,0.70607,0.89889,0.88659,0.44576,0.08936,0.13350,0.58602
84	0.53135,0.91140,0.79313,0.26758,0.45968,0.83121,0.29084,0.11013,0.97824,0.68905
85	0.80090,0.64878,0.58881,0.20736,0.97475,0.27638,0.74311,0.24754,0.35799,0.90007
86	0.95806,0.74623,0.57799,0.08293,0.85169,0.07317,0.77133,0.73343,0.66870,0.98751
87	0.05713,0.11757,0.20557,0.73599,0.41332,0.03199,0.70623,0.56404,0.20555,0.46160
88	0.80290,0.89053,0.84531,0.48807,0.47668,0.01461,0.46469,0.91583,0.31143,0.88243
89	0.90731,0.21734,0.31185,0.75372,0.81194,0.67363,0.38236,0.95503,0.68548,0.87299
90	0.77442,0.96439,0.81732,0.96918,0.79956,0.26836,0.26707,0.31767,0.06612,0.35929
91	0.37847,0.03540,0.57338,0.08672,0.24077,0.87527,0.77360,0.44420,0.77578,0.72211
92	0.19016,0.77139,0.05984,0.85772,0.43944,0.65694,0.55067,0.26505,0.08691,0.41831
93	0.97319,0.59267,0.44131,0.41936,0.72710,0.91453,0.30517,0.42221,0.69031,0.65348
94	0.43265,0.97536,0.27479,0.85818,0.10673,0.71021,0.64336,0.63502,0.66427,0.58251
95	0.94949,0.58119,0.39313,0.37796,0.94515,0.65388,0.97612,0.68420,0.47468,0.89884
96	0.50235,0.20921,0.13557,0.50776,0.37636,0.79333,0.22471,0.99955,0.81310,0.92723
97	0.67835,0.20325,0.75466,0.15890,0.18183,0.13801,0.87813,0.56906,0.42697,0.21324
98	0.51529,0.43166,0.33576,0.12680,0.58180,0.79406,0.85755,0.36578,0.57697,0.29330
99	0.47729,0.63449,0.74813,0.65498,0.55000,0.98765,0.79736,0.43377,0.51496,0.68583
