Date,Open,High,Low,Close,Adj Close,Volume
2004-08-19,49.813286,51.835709,47.800831,49.982655,49.982655,44871300
2004-08-20,50.316402,54.336334,50.062355,53.952770,53.952770,22942800
2004-08-23,55.168217,56.528118,54.321388,54.495735,54.495735,18342800
2004-08-24,55.412300,55.591629,51.591621,52.239193,52.239193,15319700
2004-08-25,52.284027,53.798351,51.746044,52.802086,52.802086,9232100
2004-08-26,52.279045,53.773445,52.134586,53.753517,53.753517,7128600
2004-08-27,53.848164,54.107193,52.647663,52.876804,52.876804,6241200
2004-08-30,52.443428,52.548038,50.814533,50.814533,50.814533,5221400
2004-08-31,50.958992,51.661362,50.889256,50.993862,50.993862,4941200
2004-09-01,51.158245,51.292744,49.648903,49.937820,49.937820,9181600
2004-09-02,49.409801,50.993862,49.285267,50.565468,50.565468,15190400
2004-09-03,50.286514,50.680038,49.474556,49.818268,49.818268,5176800
2004-09-07,50.316402,50.809555,49.619015,50.600338,50.600338,5875200
2004-09-08,50.181908,51.322632,50.062355,50.958992,50.958992,5009200
2004-09-09,51.073563,51.163227,50.311420,50.963974,50.963974,4080900
2004-09-10,50.610302,53.081039,50.460861,52.468334,52.468334,8740200
2004-09-13,53.115910,54.002586,53.031227,53.549286,53.549286,7881300
2004-09-14,53.524376,55.790882,53.195610,55.536835,55.536835,10880300
2004-09-15,55.073570,56.901718,54.894241,55.790882,55.790882,10763900
2004-09-16,55.960247,57.683788,55.616535,56.772205,56.772205,9310200
2004-09-17,56.996365,58.525631,56.562988,58.525631,58.525631,9517400
2004-09-20,58.256641,60.572956,58.166977,59.457142,59.457142,10679200
2004-09-21,59.681301,59.985161,58.535595,58.699978,58.699978,7263000
2004-09-22,58.480801,59.611561,58.186901,58.968971,58.968971,7617100
2004-09-23,59.198112,61.086033,58.291508,60.184414,60.184414,8576100
2004-09-24,60.244190,61.818291,59.656395,59.691261,59.691261,9166700
2004-09-27,59.556767,60.214302,58.680054,58.909195,58.909195,7099600
2004-09-28,60.423519,63.462128,59.880554,63.193138,63.193138,17009400
2004-09-29,63.113434,67.257904,62.879314,65.295258,65.295258,30661400
2004-09-30,64.707458,65.902977,64.259140,64.558022,64.558022,13823300
2004-10-01,65.155777,66.869354,64.209328,66.042458,66.042458,15196700
2004-10-04,67.372475,68.179443,66.764748,67.277824,67.277824,13084600
2004-10-05,67.078575,69.006348,65.873093,68.926643,68.926643,15044200
2004-10-06,68.518181,68.966499,67.746071,68.284058,68.284058,13444900
2004-10-07,68.204353,69.678825,68.020042,69.165749,69.165749,14182100
2004-10-08,69.100990,69.579201,68.254166,68.607841,68.607841,11122000
2004-10-11,68.244202,69.170731,66.675087,67.377449,67.377449,10521800
2004-10-12,66.968987,68.548065,66.450928,68.443459,68.443459,11720800
2004-10-13,71.392403,71.506973,69.778450,70.186920,70.186920,19860000
2004-10-14,70.241714,70.924156,69.021294,70.734871,70.734871,10491700
2004-10-15,72.194397,72.478333,70.709961,71.785927,71.785927,13257400
2004-10-18,71.332626,74.321426,70.341347,74.301498,74.301498,14103000
2004-10-19,74.968994,75.915451,73.399879,73.693779,73.693779,18195900
2004-10-20,73.738609,74.216820,69.539352,69.982689,69.982689,22830600
2004-10-21,71.930389,74.784691,70.545578,74.411087,74.411087,29288200
2004-10-22,84.951584,89.748604,81.733643,85.893051,85.893051,74060200
2004-10-25,87.870636,96.851974,85.952827,93.350098,93.350098,65773900
2004-10-26,92.822083,95.960320,89.663918,90.560555,90.560555,44781400
2004-10-27,91.018837,94.406143,90.545616,92.637772,92.637772,26813100
2004-10-28,92.991447,96.832047,92.453461,96.289085,96.289085,29804800
2004-10-29,99.073647,99.601669,94.944122,94.964050,94.964050,42483600
2004-11-01,96.413620,98.465927,95.277878,97.648987,97.648987,24541300
2004-11-02,99.018852,99.252975,96.309013,97.071152,97.071152,22777500
